Name,Disaster,Begin_Date,Month,Day,Year,End_Date,CPI_Adjusted_Cost,Deaths
Southeast Severe Weather (March 2005),Severe Storm,20050324,3,24,2005,20050327,1237,0
Hurricane Dennis (July 2005),Tropical Cyclone,20050709,7,9,2005,20050711,3567.9,15
Hurricane Katrina (August 2005),Tropical Cyclone,20050825,8,25,2005,20050830,178792.1,1833
Midwest Drought (Spring-Summer 2005),Drought,20050301,3,1,2005,20050831,2109,0
Hurricane Rita (September 2005),Tropical Cyclone,20050920,9,20,2005,20050924,26455.1,119
Hurricane Wilma (October 2005),Tropical Cyclone,20051024,10,24,2005,20051024,27170,35
Severe Storms and Tornadoes (March 2006),Severe Storm,20060308,3,8,2006,20060313,1845.9,10
"Midwest/Southeast Tornadoes (April 6-8, 2006)",Severe Storm,20060406,4,6,2006,20060408,2213.4,10
Midwest Tornadoes (April 2006),Severe Storm,20060413,4,13,2006,20060416,3344.4,27
Northeast Flooding (June 2006),Flooding,20060625,6,25,2006,20060628,2099.7,20
Midwest/Plains/Southeast Drought (Spring-Summer 2006),Drought,20060301,3,1,2006,20060831,8277,0
Central Severe Weather (October 2006),Severe Storm,20061002,10,2,2006,20061005,1213,1
Numerous Wildfires (2006),Wildfire,20060101,1,1,2006,20061231,2024.3,28
California Freeze (January 2007),Freeze,20070111,1,11,2007,20070117,1890,1
Spring Freeze (April 2007),Freeze,20070404,4,4,2007,20070410,2759.8,0
East/South Severe Weather and Flooding (April 2007),Severe Storm,20070413,4,13,2007,20070417,3385.6,9
Western Wildfires (Summer 2007),Wildfire,20070601,6,1,2007,20070831,3700.8,12
Western/Eastern Drought/Heatwave (Summer-Fall 2007),Drought,20070601,6,1,2007,20071130,4776.9,15
"Western, Central and Northeast Severe Weather (January 2008)",Severe Storm,20080104,1,4,2008,20080109,1276.6,12
Southeast Tornadoes and Severe Weather (February 2008),Severe Storm,20080205,2,5,2008,20080206,1575.1,57
Southeast Tornadoes (March 2008),Severe Storm,20080314,3,14,2008,20080315,1470.3,5
Southern Severe Weather (April 2008),Severe Storm,20080409,4,9,2008,20080411,1351.5,2
Midwest Tornadoes and Severe Weather (May 2008),Severe Storm,20080522,5,22,2008,20080527,3938.3,13
Midwest/Mid-Atlantic Severe Weather (June 2008),Severe Storm,20080606,6,6,2008,20080612,2126.8,18
Midwest Flooding (Summer 2008),Flooding,20080401,4,1,2008,20080630,12946,24
Hurricane Dolly (July 2008),Tropical Cyclone,20080723,7,23,2008,20080725,1647.4,3
Hurricane Gustav (September 2008),Tropical Cyclone,20080831,8,31,2008,20080903,7796.1,53
Hurricane Ike (September 2008),Tropical Cyclone,20080912,9,12,2008,20080914,38998.4,112
U.S. Wildfires (Fall 2008),Wildfire,20080901,9,1,2008,20081130,1604.2,16
U.S. Drought (2008),Drought,20080101,1,1,2008,20081231,9112.7,0
Southeast/Ohio Valley Severe Weather (February 2009),Severe Storm,20090210,2,10,2009,20090211,2262.2,10
Midwest/Southeast Tornadoes (March 2009),Severe Storm,20090325,3,25,2009,20090328,2132.7,0
South/Southeast Severe Weather and Tornadoes (April 2009),Severe Storm,20090409,4,9,2009,20090410,1859.2,6
Central Tornadoes and Severe Weather (May 2009),Severe Storm,20090507,5,7,2009,20090509,1102,7
"Midwest, South and East Severe Weather (June 2009)",Severe Storm,20090609,6,9,2009,20090612,1726.5,0
Colorado Hail Storm (July 2009),Severe Storm,20090720,7,20,2009,20090720,1300,0
Western Wildfires (Summer-Fall 2009),Wildfire,20090601,6,1,2009,20091130,1315.3,10
Southwest/Great Plains Drought (2009),Drought,20090101,1,1,2009,20091231,4539.7,0
Northeast Winter Storm (February 2010),Winter Storm,20100209,2,9,2010,20100211,1029.4,3
Northeast Flooding (March 2010),Flooding,20100301,3,1,2010,20100331,2323.7,11
East/South Flooding and Severe Weather (May 2010),Flooding,20100430,4,30,2010,20100502,2855.4,32
"Oklahoma, Kansas, and Texas Tornadoes and Severe Weather (May 2010)",Severe Storm,20100510,5,10,2010,20100512,4200.6,3
Rockies/Central/East Severe Weather (June 2010),Severe Storm,20100610,6,10,2010,20100615,1135.2,2
Midwest/Northeast Severe Storms and Flooding (July 2010),Severe Storm,20100720,7,20,2010,20100723,1194.9,0
Arizona Severe Weather (October 2010),Severe Storm,20101005,10,5,2010,20101006,4788,0
Groundhog Day Blizzard (February 2011),Winter Storm,20110201,2,1,2011,20110203,2224.8,36
Midwest/Southeast Tornadoes (April 2011),Severe Storm,20110404,4,4,2011,20110405,3441.2,9
Southeast/Midwest Tornadoes (April 2011),Severe Storm,20110408,4,8,2011,20110411,2702.3,0
Midwest/Southeast Tornadoes (April 2011),Severe Storm,20110414,4,14,2011,20110416,2553.3,38
Ohio Valley/South Tornadoes (April 2011),Severe Storm,20110419,4,19,2011,20110420,1286.8,0
Southeast/Ohio Valley/Midwest Tornadoes (April 2011),Severe Storm,20110425,4,25,2011,20110428,12675.2,321
Midwest/Southeast Tornadoes (May 2011),Severe Storm,20110522,5,22,2011,20110527,11279.9,177
Mississippi River flooding (April-May 2011),Flooding,20110401,4,1,2011,20110531,3702.8,7
Midwest/Southeast Tornadoes and Severe Weather (June 2011),Severe Storm,20110618,6,18,2011,20110622,1906.1,3
Missouri River flooding (May-June 2011),Flooding,20110501,5,1,2011,20110630,2482.7,5
Rockies and Midwest Severe Weather (July 2011),Severe Storm,20110710,7,10,2011,20110714,1519.1,2
Midwest/Southeast Severe Weather (August 2011),Severe Storm,20110817,8,17,2011,20110818,1427.9,0
Hurricane Irene (August 2011),Tropical Cyclone,20110826,8,26,2011,20110828,16732.4,45
Southern Plains/Southwest Drought and Heatwave (Spring-Summer 2011),Drought,20110301,3,1,2011,20110831,14836.3,95
Tropical Storm Lee (September 2011),Tropical Cyclone,20110901,9,1,2011,20110905,3115.4,21
"Texas, New Mexico, Arizona Wildfires (Summer-Fall 2011)",Wildfire,20110601,6,1,2011,20111130,2257.7,5
Southeast/Ohio Valley Tornadoes (March 2012),Severe Storm,20120302,3,2,2012,20120303,3785.8,42
Texas Tornadoes (April 2012),Severe Storm,20120402,4,2,2012,20120403,1228.5,0
Midwest Tornadoes (April 2012),Severe Storm,20120413,4,13,2012,20120414,1359.5,6
Midwest/Ohio Valley Severe Weather (April-May 2012),Severe Storm,20120428,4,28,2012,20120501,3964.4,1
Southern Plains/Midwest/Northeast Severe Weather (May 2012),Severe Storm,20120525,5,25,2012,20120530,2787.6,1
Rockies/Southwest Severe Weather (June 2012),Severe Storm,20120606,6,6,2012,20120612,3143.3,0
Plains/East/Northeast Severe Weather (June-July 2012),Severe Storm,20120629,6,29,2012,20120702,3495.1,28
Hurricane Isaac (August 2012),Tropical Cyclone,20120826,8,26,2012,20120831,3343.9,9
Hurricane Sandy (October 2012),Tropical Cyclone,20121030,10,30,2012,20121031,78697.7,159
Western Wildfires (Summer-Fall 2012),Wildfire,20120601,6,1,2012,20121130,2103.6,8
U.S. Drought/Heatwave (2012),Drought,20120101,1,1,2012,20121231,36304.4,123
Southern Severe Weather (February 2013),Severe Storm,20130224,2,24,2013,20130225,1088,1
Southeast Severe Weather (March 2013),Severe Storm,20130318,3,18,2013,20130318,2403.8,1
Midwest/Plains Severe Weather (April 2013),Severe Storm,20130407,4,7,2013,20130411,1718.4,1
Illinois Flooding and Severe Weather (April 2013),Flooding,20130416,4,16,2013,20130419,1281.7,4
Midwest/Plains/East Tornadoes (May 2013),Severe Storm,20130518,5,18,2013,20130522,2856.3,27
Midwest/Plains/Northeast Tornadoes (May 2013),Severe Storm,20130527,5,27,2013,20130531,2158.1,10
Midwest Severe Weather (August 2013),Severe Storm,20130806,8,6,2013,20130807,1240,0
Colorado Flooding (September 2013),Flooding,20130910,9,10,2013,20130916,1795.1,9
Ohio Valley Tornadoes (November 2013),Severe Storm,20131117,11,17,2013,20131117,1297.8,8
Western/Plains Drought/Heatwave (Spring-Fall 2013),Drought,20130301,3,1,2013,20131130,12407.1,53
Midwest/Southeast/Northeast Winter Storm (January 2014),Winter Storm,20140105,1,5,2014,20140108,2542.1,16
Plains Severe Weather (April 2014),Severe Storm,20140402,4,2,2014,20140403,1666.1,0
Central Severe Weather (April 2014),Severe Storm,20140412,4,12,2014,20140413,1055.8,0
Midwest/Southeast/Northeast Tornadoes and Flooding (April 2014),Severe Storm,20140427,4,27,2014,20140501,2031.2,33
Rockies/Midwest/Eastern Severe Weather (May 2014),Severe Storm,20140518,5,18,2014,20140523,4344.5,0
Rockies/Central Plains Severe Weather (June 2014),Severe Storm,20140603,6,3,2014,20140605,2245.5,2
Michigan and Northeast Flooding (August 2014),Flooding,20140811,8,11,2014,20140813,1207.1,2
Rockies/Plains Severe Weather (September 2014),Severe Storm,20140929,9,29,2014,20141002,1638.5,0
Western Drought (2014),Drought,20140101,1,1,2014,20141231,4623.6,0
"Central and Eastern Winter storm, Cold Wave (February 2015)",Winter Storm,20150214,2,14,2015,20150220,3465.7,30
Midwest/Ohio Valley Severe Weather (April 2015),Severe Storm,20150407,4,7,2015,20150409,1820.3,2
South/Southeast Severe Weather (April 2015),Severe Storm,20150418,4,18,2015,20150420,1502.2,0
South and Southeast Severe Weather (April 2015),Severe Storm,20150424,4,24,2015,20150425,1095,3
Southern Plains Tornadoes (May 2015),Severe Storm,20150506,5,6,2015,20150510,1488.3,4
Texas and Oklahoma Flooding and Severe Weather (May 2015),Flooding,20150523,5,23,2015,20150526,2925.5,31
Central and Northeast Severe Weather (June 2015),Severe Storm,20150621,6,21,2015,20150625,1371.1,1
South Carolina and East Coast Flooding (October 2015),Flooding,20151001,10,1,2015,20151005,2337.9,25
Western and Alaskan Wildfires (Summer-Fall 2015),Wildfire,20150601,6,1,2015,20151130,3542.7,12
Texas Tornadoes and Midwest Flooding (December 2015),Severe Storm,20151226,12,26,2015,20151229,2295.5,50
Western Drought (2015),Drought,20150101,1,1,2015,20151231,5225.4,0
Southeast and Eastern Tornadoes (February 2016),Severe Storm,20160222,2,22,2016,20160224,1196.3,10
Texas and Louisiana Flooding (March 2016),Flooding,20160308,3,8,2016,20160312,2639,5
Southern Severe Weather (March 2016),Severe Storm,20160317,3,17,2016,20160318,1391.8,1
North Texas Hail Storm (March 2016),Severe Storm,20160323,3,23,2016,20160324,2374.5,0
North/Central Texas Hail Storm (April 2016),Severe Storm,20160410,4,10,2016,20160412,4023.4,0
